City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Codrington,AU,-38.2667,141.9667,49.12,67,100,16.91,overcast clouds
284,Irbeyskoye,RU,55.6428,95.4522,47.84,63,5,2.66,clear sky
285,Phibun Mangsahan,TH,15.2447,105.2291,80.58,93,100,7.16,overcast clouds
286,Nouadhibou,MR,20.931,-17.0347,82.38,57,0,16.11,clear sky
287,Port Macquarie,AU,-31.4333,152.9167,53.89,69,100,6.02,overcast clouds
288,Riyadh,SA,24.6877,46.7219,104.14,9,1,10.56,clear sky
289,Leshukonskoye,RU,64.8989,45.7622,50.47,88,99,6.6,overcast clouds
290,Vanavara,RU,60.34,102.2797,43.43,83,100,4.63,overcast clouds
291,Henties Bay,NA,-22.116,14.2845,59.27,77,6,16.35,clear sky
292,Russell,US,32.3502,-85.1999,69.96,94,0,0.0,clear sky
293,Torbay,CA,47.6666,-52.7314,60.58,73,40,20.71,scattered clouds
294,Mersing,MY,2.4312,103.8405,80.51,78,40,3.44,scattered clouds
295,Bajil,YE,15.0584,43.2851,97.48,40,94,12.06,overcast clouds
296,Husavik,IS,66.0449,-17.3389,50.9,65,88,2.44,overcast clouds
297,Dimapur,IN,25.9,93.7333,80.02,93,100,0.67,overcast clouds
298,Moss Vale,AU,-34.55,150.3833,51.15,63,0,14.52,clear sky
299,Eydhafushi,MV,5.1033,73.0708,82.2,72,100,8.79,overcast clouds
300,Liverpool,GB,53.4106,-2.9779,62.29,72,75,19.57,broken clouds
301,Jalingo,NG,8.8833,11.3667,81.82,76,79,5.26,moderate rain
302,Tomohon,ID,1.3346,124.8392,68.94,93,69,2.42,broken clouds
303,Mortka,RU,59.3322,66.0214,57.49,75,98,6.73,overcast clouds
304,San Quintin,MX,30.4833,-115.95,65.64,82,2,7.72,clear sky
305,Waipawa,NZ,-41.4122,175.5153,42.35,84,100,5.1,overcast clouds
306,Huilong,CN,31.8111,121.655,79.93,80,0,18.77,clear sky
